id_match	id_ent_inegi	entidad.x	id_muni_inegi	municipio.x	id_ent_gadm	entidad.y	id_muni_gadm	municipio.y
MEX.1.1_101 001	1	Aguascalientes	01 001	Aguascalientes	MEX.1_1	Aguascalientes	MEX.1.1_1	Aguascalientes
MEX.1.2_101 002	1	Aguascalientes	01 002	Asientos	MEX.1_1	Aguascalientes	MEX.1.2_1	Asientos
MEX.1.3_101 003	1	Aguascalientes	01 003	Calvillo	MEX.1_1	Aguascalientes	MEX.1.3_1	Calvillo
MEX.1.4_101 004	1	Aguascalientes	01 004	Cosío	MEX.1_1	Aguascalientes	MEX.1.4_1	Cosío
MEX.1.5_101 005	1	Aguascalientes	01 005	Jesús María	MEX.1_1	Aguascalientes	MEX.1.5_1	Jesús María
MEX.1.6_101 006	1	Aguascalientes	01 006	Pabellón de Arteaga	MEX.1_1	Aguascalientes	MEX.1.6_1	Pabellón de Arteaga
MEX.1.7_101 007	1	Aguascalientes	01 007	Rincón de Romos	MEX.1_1	Aguascalientes	MEX.1.7_1	Rincón de Romos
MEX.1.8_101 008	1	Aguascalientes	01 008	San José de Gracia	MEX.1_1	Aguascalientes	MEX.1.8_1	San José de Gracia
MEX.1.9_101 009	1	Aguascalientes	01 009	Tepezalá	MEX.1_1	Aguascalientes	MEX.1.9_1	Tepezalá
MEX.3.1_102 001	2	Baja California	02 001	Ensenada	MEX.3_1	Baja California	MEX.3.1_1	Ensenada
MEX.3.2_102 002	2	Baja California	02 002	Mexicali	MEX.3_1	Baja California	MEX.3.2_1	Mexicali
MEX.3.4_102 003	2	Baja California	02 003	Tecate	MEX.3_1	Baja California	MEX.3.4_1	Tecate
MEX.3.5_102 004	2	Baja California	02 004	Tijuana	MEX.3_1	Baja California	MEX.3.5_1	Tijuana
MEX.2.1_103 001	3	Baja California Sur	03 001	Comondú	MEX.2_1	Baja California Sur	MEX.2.1_1	Comondú
MEX.2.3_103 002	3	Baja California Sur	03 002	Mulegé	MEX.2_1	Baja California Sur	MEX.2.3_1	Mulegé
MEX.2.2_103 003	3	Baja California Sur	03 003	La Paz	MEX.2_1	Baja California Sur	MEX.2.2_1	La Paz
MEX.4.1_104 001	4	Campeche	04 001	Calkiní	MEX.4_1	Campeche	MEX.4.1_1	Calkiní
MEX.4.2_104 002	4	Campeche	04 002	Campeche	MEX.4_1	Campeche	MEX.4.2_1	Campeche
MEX.4.3_104 003	4	Campeche	04 003	Carmen	MEX.4_1	Campeche	MEX.4.3_1	Carmen
MEX.4.4_104 004	4	Campeche	04 004	Champotón	MEX.4_1	Campeche	MEX.4.4_1	Champotón
MEX.4.5_104 005	4	Campeche	04 005	Hecelchakán	MEX.4_1	Campeche	MEX.4.5_1	Hecelchakán
MEX.4.6_104 006	4	Campeche	04 006	Hopelchén	MEX.4_1	Campeche	MEX.4.6_1	Hopelchén
MEX.4.7_104 007	4	Campeche	04 007	Palizada	MEX.4_1	Campeche	MEX.4.7_1	Palizada
MEX.4.8_104 008	4	Campeche	04 008	Tenabo	MEX.4_1	Campeche	MEX.4.8_1	Tenabo
MEX.7.1_105 001	5	Coahuila	05 001	Abasolo	MEX.7_1	Coahuila	MEX.7.1_1	Abasolo
MEX.7.2_105 002	5	Coahuila	05 002	Acuña	MEX.7_1	Coahuila	MEX.7.2_1	Acuña
MEX.7.3_105 003	5	Coahuila	05 003	Allende	MEX.7_1	Coahuila	MEX.7.3_1	Allende
MEX.7.4_105 004	5	Coahuila	05 004	Arteaga	MEX.7_1	Coahuila	MEX.7.4_1	Arteaga
MEX.7.5_105 005	5	Coahuila	05 005	Candela	MEX.7_1	Coahuila	MEX.7.5_1	Candela
MEX.7.6_105 006	5	Coahuila	05 006	Castaños	MEX.7_1	Coahuila	MEX.7.6_1	Castaños
MEX.7.7_105 007	5	Coahuila	05 007	Cuatro Ciénegas	MEX.7_1	Coahuila	MEX.7.7_1	Cuatrociénegas
MEX.7.8_105 008	5	Coahuila	05 008	Escobedo	MEX.7_1	Coahuila	MEX.7.8_1	Escobedo
MEX.7.9_105 009	5	Coahuila	05 009	Francisco I. Madero	MEX.7_1	Coahuila	MEX.7.9_1	Francisco I. Madero
MEX.7.10_105 010	5	Coahuila	05 010	Frontera	MEX.7_1	Coahuila	MEX.7.10_1	Frontera
MEX.7.11_105 011	5	Coahuila	05 011	General Cepeda	MEX.7_1	Coahuila	MEX.7.11_1	General Cepeda
MEX.7.12_105 012	5	Coahuila	05 012	Guerrero	MEX.7_1	Coahuila	MEX.7.12_1	Guerrero
MEX.7.13_105 013	5	Coahuila	05 013	Hidalgo	MEX.7_1	Coahuila	MEX.7.13_1	Hidalgo
MEX.7.14_105 014	5	Coahuila	05 014	Jiménez	MEX.7_1	Coahuila	MEX.7.14_1	Jiménez
MEX.7.15_105 015	5	Coahuila	05 015	Juárez	MEX.7_1	Coahuila	MEX.7.15_1	Juárez
MEX.7.16_105 016	5	Coahuila	05 016	Lamadrid	MEX.7_1	Coahuila	MEX.7.16_1	Lamadrid
MEX.7.17_105 017	5	Coahuila	05 017	Matamoros	MEX.7_1	Coahuila	MEX.7.17_1	Matamoros
MEX.7.18_105 018	5	Coahuila	05 018	Monclova	MEX.7_1	Coahuila	MEX.7.18_1	Monclova
MEX.7.19_105 019	5	Coahuila	05 019	Morelos	MEX.7_1	Coahuila	MEX.7.19_1	Morelos
MEX.7.20_105 020	5	Coahuila	05 020	Múzquiz	MEX.7_1	Coahuila	MEX.7.20_1	Múzquiz
MEX.7.21_105 021	5	Coahuila	05 021	Nadadores	MEX.7_1	Coahuila	MEX.7.21_1	Nadadores
MEX.7.22_105 022	5	Coahuila	05 022	Nava	MEX.7_1	Coahuila	MEX.7.22_1	Nava
MEX.7.24_105 023	5	Coahuila	05 023	Ocampo	MEX.7_1	Coahuila	MEX.7.24_1	Ocampo
MEX.7.25_105 024	5	Coahuila	05 024	Parras	MEX.7_1	Coahuila	MEX.7.25_1	Parras
MEX.7.26_105 025	5	Coahuila	05 025	Piedras Negras	MEX.7_1	Coahuila	MEX.7.26_1	Piedras Negras
MEX.7.27_105 026	5	Coahuila	05 026	Progreso	MEX.7_1	Coahuila	MEX.7.27_1	Progreso
MEX.7.28_105 027	5	Coahuila	05 027	Ramos Arizpe	MEX.7_1	Coahuila	MEX.7.28_1	Ramos Arizpe
MEX.7.29_105 028	5	Coahuila	05 028	Sabinas	MEX.7_1	Coahuila	MEX.7.29_1	Sabinas
MEX.7.30_105 029	5	Coahuila	05 029	Sacramento	MEX.7_1	Coahuila	MEX.7.30_1	Sacramento
MEX.7.31_105 030	5	Coahuila	05 030	Saltillo	MEX.7_1	Coahuila	MEX.7.31_1	Saltillo
MEX.7.32_105 031	5	Coahuila	05 031	San Buenaventura	MEX.7_1	Coahuila	MEX.7.32_1	San Buenaventura
MEX.7.33_105 033	5	Coahuila	05 033	San Pedro	MEX.7_1	Coahuila	MEX.7.33_1	San Pedro
MEX.7.34_105 034	5	Coahuila	05 034	Sierra Mojada	MEX.7_1	Coahuila	MEX.7.34_1	Sierra Mojada
MEX.7.35_105 035	5	Coahuila	05 035	Torreón	MEX.7_1	Coahuila	MEX.7.35_1	Torreón
MEX.7.36_105 036	5	Coahuila	05 036	Viesca	MEX.7_1	Coahuila	MEX.7.36_1	Viesca
MEX.7.37_105 037	5	Coahuila	05 037	Villa Unión	MEX.7_1	Coahuila	MEX.7.37_1	Villa Unión
MEX.7.38_105 038	5	Coahuila	05 038	Zaragoza	MEX.7_1	Coahuila	MEX.7.38_1	Zaragoza
MEX.8.1_106 001	6	Colima	06 001	Armería	MEX.8_1	Colima	MEX.8.1_1	Armería
MEX.8.2_106 002	6	Colima	06 002	Colima	MEX.8_1	Colima	MEX.8.2_1	Colima
MEX.8.3_106 003	6	Colima	06 003	Comala	MEX.8_1	Colima	MEX.8.3_1	Comala
MEX.8.4_106 004	6	Colima	06 004	Coquimatlán	MEX.8_1	Colima	MEX.8.4_1	Coquimatlán
MEX.8.5_106 005	6	Colima	06 005	Cuauhtémoc	MEX.8_1	Colima	MEX.8.5_1	Cuauhtémoc
MEX.8.6_106 006	6	Colima	06 006	Ixtlahuacán	MEX.8_1	Colima	MEX.8.6_1	Ixtlahuacán
MEX.8.7_106 007	6	Colima	06 007	Manzanillo	MEX.8_1	Colima	MEX.8.7_1	Manzanillo
MEX.8.8_106 008	6	Colima	06 008	Minatitlán	MEX.8_1	Colima	MEX.8.8_1	Minatitlán
MEX.8.9_106 009	6	Colima	06 009	Tecomán	MEX.8_1	Colima	MEX.8.9_1	Tecomán
MEX.8.10_106 010	6	Colima	06 010	Villa de Álvarez	MEX.8_1	Colima	MEX.8.10_1	Villa de Alvarez
MEX.5.1_107 001	7	Chiapas	07 001	Acacoyagua	MEX.5_1	Chiapas	MEX.5.1_1	Acacoyagua
MEX.5.2_107 002	7	Chiapas	07 002	Acala	MEX.5_1	Chiapas	MEX.5.2_1	Acala
MEX.5.3_107 003	7	Chiapas	07 003	Acapetahua	MEX.5_1	Chiapas	MEX.5.3_1	Acapetahua
