categoria,ent,fecha,popularity_score
Restaurantes,Aguascalientes,6/19/2016,52
Restaurantes,Aguascalientes,6/26/2016,54
Restaurantes,Aguascalientes,7/3/2016,43
Restaurantes,Aguascalientes,7/10/2016,45
Restaurantes,Aguascalientes,7/17/2016,32
Restaurantes,Aguascalientes,7/24/2016,46
Restaurantes,Aguascalientes,7/31/2016,30
Restaurantes,Aguascalientes,8/7/2016,22
Restaurantes,Aguascalientes,8/14/2016,43
Restaurantes,Aguascalientes,8/21/2016,28
Restaurantes,Aguascalientes,8/28/2016,26
Restaurantes,Aguascalientes,9/4/2016,34
Restaurantes,Aguascalientes,9/11/2016,53
Restaurantes,Aguascalientes,9/18/2016,38
Restaurantes,Aguascalientes,9/25/2016,44
Restaurantes,Aguascalientes,10/2/2016,41
Restaurantes,Aguascalientes,10/9/2016,42
Restaurantes,Aguascalientes,10/16/2016,33
Restaurantes,Aguascalientes,10/23/2016,41
Restaurantes,Aguascalientes,10/30/2016,38
Restaurantes,Aguascalientes,11/6/2016,20
Restaurantes,Aguascalientes,11/13/2016,61
Restaurantes,Aguascalientes,11/20/2016,47
Restaurantes,Aguascalientes,11/27/2016,34
Restaurantes,Aguascalientes,12/4/2016,59
Restaurantes,Aguascalientes,12/11/2016,61
Restaurantes,Aguascalientes,12/18/2016,44
Restaurantes,Aguascalientes,12/25/2016,45
Restaurantes,Aguascalientes,1/1/2017,55
Restaurantes,Aguascalientes,1/8/2017,55
Restaurantes,Aguascalientes,1/15/2017,23
Restaurantes,Aguascalientes,1/22/2017,40
Restaurantes,Aguascalientes,1/29/2017,39
Restaurantes,Aguascalientes,2/5/2017,49
Restaurantes,Aguascalientes,2/12/2017,49
Restaurantes,Aguascalientes,2/19/2017,51
Restaurantes,Aguascalientes,2/26/2017,37
Restaurantes,Aguascalientes,3/5/2017,41
Restaurantes,Aguascalientes,3/12/2017,41
Restaurantes,Aguascalientes,3/19/2017,44
Restaurantes,Aguascalientes,3/26/2017,32
Restaurantes,Aguascalientes,4/2/2017,51
Restaurantes,Aguascalientes,4/9/2017,43
Restaurantes,Aguascalientes,4/16/2017,31
Restaurantes,Aguascalientes,4/23/2017,42
Restaurantes,Aguascalientes,4/30/2017,42
Restaurantes,Aguascalientes,5/7/2017,58
Restaurantes,Aguascalientes,5/14/2017,47
Restaurantes,Aguascalientes,5/21/2017,53
Restaurantes,Aguascalientes,5/28/2017,41
Restaurantes,Aguascalientes,6/4/2017,24
Restaurantes,Aguascalientes,6/11/2017,40
Restaurantes,Aguascalientes,6/18/2017,46
Restaurantes,Aguascalientes,6/25/2017,56
Restaurantes,Aguascalientes,7/2/2017,26
Restaurantes,Aguascalientes,7/9/2017,33
Restaurantes,Aguascalientes,7/16/2017,46
Restaurantes,Aguascalientes,7/23/2017,55
Restaurantes,Aguascalientes,7/30/2017,63
Restaurantes,Aguascalientes,8/6/2017,46
Restaurantes,Aguascalientes,8/13/2017,39
Restaurantes,Aguascalientes,8/20/2017,36
Restaurantes,Aguascalientes,8/27/2017,60
Restaurantes,Aguascalientes,9/3/2017,48
Restaurantes,Aguascalientes,9/10/2017,56
Restaurantes,Aguascalientes,9/17/2017,31
Restaurantes,Aguascalientes,9/24/2017,36
Restaurantes,Aguascalientes,10/1/2017,71
Restaurantes,Aguascalientes,10/8/2017,56
Restaurantes,Aguascalientes,10/15/2017,56
Restaurantes,Aguascalientes,10/22/2017,51
Restaurantes,Aguascalientes,10/29/2017,60
Restaurantes,Aguascalientes,11/5/2017,63
Restaurantes,Aguascalientes,11/12/2017,29
Restaurantes,Aguascalientes,11/19/2017,32
Restaurantes,Aguascalientes,11/26/2017,45
