categoria,ent,fecha,popularity_score
Restaurantes,Aguascalientes,2016-06-19,52
Restaurantes,Aguascalientes,2016-06-26,54
Restaurantes,Aguascalientes,2016-07-03,43
Restaurantes,Aguascalientes,2016-07-10,45
Restaurantes,Aguascalientes,2016-07-17,32
Restaurantes,Aguascalientes,2016-07-24,46
Restaurantes,Aguascalientes,2016-07-31,30
Restaurantes,Aguascalientes,2016-08-07,22
Restaurantes,Aguascalientes,2016-08-14,43
Restaurantes,Aguascalientes,2016-08-21,28
Restaurantes,Aguascalientes,2016-08-28,26
Restaurantes,Aguascalientes,2016-09-04,34
Restaurantes,Aguascalientes,2016-09-11,53
Restaurantes,Aguascalientes,2016-09-18,38
Restaurantes,Aguascalientes,2016-09-25,44
Restaurantes,Aguascalientes,2016-10-02,41
Restaurantes,Aguascalientes,2016-10-09,42
Restaurantes,Aguascalientes,2016-10-16,33
Restaurantes,Aguascalientes,2016-10-23,41
Restaurantes,Aguascalientes,2016-10-30,38
Restaurantes,Aguascalientes,2016-11-06,20
Restaurantes,Aguascalientes,2016-11-13,61
Restaurantes,Aguascalientes,2016-11-20,47
Restaurantes,Aguascalientes,2016-11-27,34
Restaurantes,Aguascalientes,2016-12-04,59
Restaurantes,Aguascalientes,2016-12-11,61
Restaurantes,Aguascalientes,2016-12-18,44
Restaurantes,Aguascalientes,2016-12-25,45
Restaurantes,Aguascalientes,2017-01-01,55
Restaurantes,Aguascalientes,2017-01-08,55
Restaurantes,Aguascalientes,2017-01-15,23
Restaurantes,Aguascalientes,2017-01-22,40
Restaurantes,Aguascalientes,2017-01-29,39
Restaurantes,Aguascalientes,2017-02-05,49
Restaurantes,Aguascalientes,2017-02-12,49
Restaurantes,Aguascalientes,2017-02-19,51
Restaurantes,Aguascalientes,2017-02-26,37
Restaurantes,Aguascalientes,2017-03-05,41
Restaurantes,Aguascalientes,2017-03-12,41
Restaurantes,Aguascalientes,2017-03-19,44
Restaurantes,Aguascalientes,2017-03-26,32
Restaurantes,Aguascalientes,2017-04-02,51
Restaurantes,Aguascalientes,2017-04-09,43
Restaurantes,Aguascalientes,2017-04-16,31
Restaurantes,Aguascalientes,2017-04-23,42
Restaurantes,Aguascalientes,2017-04-30,42
Restaurantes,Aguascalientes,2017-05-07,58
Restaurantes,Aguascalientes,2017-05-14,47
Restaurantes,Aguascalientes,2017-05-21,53
Restaurantes,Aguascalientes,2017-05-28,41
Restaurantes,Aguascalientes,2017-06-04,24
Restaurantes,Aguascalientes,2017-06-11,40
Restaurantes,Aguascalientes,2017-06-18,46
Restaurantes,Aguascalientes,2017-06-25,56
Restaurantes,Aguascalientes,2017-07-02,26
Restaurantes,Aguascalientes,2017-07-09,33
Restaurantes,Aguascalientes,2017-07-16,46
Restaurantes,Aguascalientes,2017-07-23,55
Restaurantes,Aguascalientes,2017-07-30,63
Restaurantes,Aguascalientes,2017-08-06,46
Restaurantes,Aguascalientes,2017-08-13,39
Restaurantes,Aguascalientes,2017-08-20,36
Restaurantes,Aguascalientes,2017-08-27,60
Restaurantes,Aguascalientes,2017-09-03,48
Restaurantes,Aguascalientes,2017-09-10,56
Restaurantes,Aguascalientes,2017-09-17,31
Restaurantes,Aguascalientes,2017-09-24,36
Restaurantes,Aguascalientes,2017-10-01,71
Restaurantes,Aguascalientes,2017-10-08,56
Restaurantes,Aguascalientes,2017-10-15,56
Restaurantes,Aguascalientes,2017-10-22,51
Restaurantes,Aguascalientes,2017-10-29,60
Restaurantes,Aguascalientes,2017-11-05,63
Restaurantes,Aguascalientes,2017-11-12,29
Restaurantes,Aguascalientes,2017-11-19,32
Restaurantes,Aguascalientes,2017-11-26,45
Restaurantes,Aguascalientes,2017-12-03,58
Restaurantes,Aguascalientes,2017-12-10,54
Restaurantes,Aguascalientes,2017-12-17,60
Restaurantes,Aguascalientes,2017-12-24,71
Restaurantes,Aguascalientes,2017-12-31,45
Restaurantes,Aguascalientes,2018-01-07,45
Restaurantes,Aguascalientes,2018-01-14,40
Restaurantes,Aguascalientes,2018-01-21,26
Restaurantes,Aguascalientes,2018-01-28,44
Restaurantes,Aguascalientes,2018-02-04,47
Restaurantes,Aguascalientes,2018-02-11,57
Restaurantes,Aguascalientes,2018-02-18,35
Restaurantes,Aguascalientes,2018-02-25,45
